actor,air_time_in_minutes
Mae Whitman,157
Siddiqie,157
Sijoy,157
Swasika,157
Aju Verghese,157
Rakul preet Singh,156
Ranbir Kapoor,156
Abimanyu Singh,156
Ajay,156
Humayun Saeed,156
Mehwish Hayat,156
Sunil Grover,155
Pallavi Patil,155
Guest Appearance - Tabu,155
Disha Patani,155
Siddharth Chandekar,155
Idina Menzel,155
Shefali Shetty,155
Sushant Shelar,155
Kishori Shahane,155
Priyanka Arul Mohan,155
Sachit Patil,155
Suyash Tilak,155
Kiran Kumar,155
Sai Tamhankar,155
Ankush Chaudhari,155
Ramesh Deo,155
Sanjay Mone,155
Bibhu Bhattacharya,154
Rishab Shetty,154
Abigail Eames,154
Riwk,154
Maxine Peake,154
Anamika Saha,154
Riya,154
Neil Bell,154
Ramaprasad Banik,154
Sumanta Mukherjee,154
Haripriya,154
Rory Kinnear,154
Pramod Shetty,154
Lea,154
Sanghamitra Bandyopadhyay,154
Sowmya Jagannmurthy,154
Philip Jackson,154
Vincent Franklin,154
Karl Johnson,154
Ajay Devgn,154
Erika Kaar,154
Vendana Menon,154
Pop,154
Kalyan Chatterjee,154
Balaji Manohar,154
Tomo Muranaka,153
Tadashi Miyazawa,153
Prakash raj,153
Ansiba,153
Meena,153
Antony Perumbavoor,153
Ananya Nagalla,153
Momoko Tanabe,153
Nanditha Raj,153
Anjali Nair,153
Takeshi Kaga,153
Nao Nagasawa,153
Ganesh Kumar,153
Asha Sharath,153
Neetu Chandra,152
Olamilekan Akanbi Jason,152
Sivakarthikeyan,152
Rowan Blanchard,152
Janaki Ganesh,152
Shruthi Hasan,152
Anoop Singh Thakur,152
Fahadh Faasil,152
Naga Chaitanya Akkineni,151
Dhananjay,151
Subbaraju,151
Subhashree Ganguly,151
Dhruva Sarja,151
Aishwarya Lekshmi,151
Divyansha Kaushik,151
Chikkanna,151
Ajith Kumar,151
Samantha Ruth,151
Divyanshya,151
Krishnam Raju,150
M.S.Bhaskar,150
Srinivasa Reddy,150
Achuthan,150
Chloe Bennet,150
Manoj Nandam,150
R.Madhavan,150
Sandeep Madhav,150
Allu Arjun,150
Mouli,150
Nithya Menen,150
Mehreen,150
Iniya,150
Shreenivas Pokale,150
Sanjay Reddy,150
Muskaan Khubchandani,150
J.Mahendran,150
Indhuja Ravichandran,150
Kunchako Boban,149
Mahiya Mahi,149
E. Ramdoss,149
Aadukalam Murugadoss,149
Parvathy Thiruvoth,149
Malavika Nair,149
Urvashi Rautela,149
Revathy,149
Bobby Simha,149
Arthana Vijayakumar,148
Sathyaraj,148
Parthiban,148
Nidhhi Agerwal,148
Sha Ra,147
Premji,147
Shakthi Vasudevan,147
Brianna Ripkowski,147
Rakul Preet Singh,147
Noah Artis,147
Vijayalakshmi,147
Abby Stevens,147
Arielle Gottesman,147
Sam Grossinger,147
Vadivelu,147
Benjamin Snow,147
Vidharth,147
Corrinne Mica,147
Blake Borders,147
Eric Mickelson,147
Sanusha,147
Ernest Keith Walker,147
Ashok Selvan,147
Raghava Lawrence,147
Suhaas,146
Tara Sutaria,146
Mary Jo Pehl,146
Ananya Panday,146
Shruthi Sharma,146
Mouni Roy,146
Jayam Ravi,146
Sai Shankar,145
Upen Patel,145
Pavithran,145
Gopichand,145
Jonathan Devadoss,145
Rajesh Khattar,145
Jose Selvaraj,145
Master Raghavan,145
Jithin Raj,145
Maya S. Krishnan,145
Vinodhini,144
Risha,144
Chinna,144
V. J. Chitra,144
Anisha Ambrose,144
Rose Byrne,144
P. Balachandran,144
Sushant Singh Rajput,144
Joy Mathew,144
Nidhi Subbaiah,144
Viswant Duddumpudi,144
Raina Rao,144
Gajaraj,143
Lingesh Vj,143
Lanka Raj,143
Charles Vinoth,143
Anaika Soti,143
Priyanka,143
Pankaj Kapur,143
Uday Mahesh,143
Nandakumar,143
Julie Bowen,143
Teena Vellara,143
Dhansika,143
Tessa Vellara,143
Roja,143
Kavya,143
Giri,143
Sanah Kapoor,143
R. Amarendran,143
Radhika Apte,143
Sangili Murugan,143
Sanjay Kapoor,143
Winston Chao,143
Niki Aneja Walia,143
Karan Johar,143
Rosyam,143
Sushma Seth,143
Prithviraj,143
Sampath Ram,143
Krishna Kumar. B,142
Sophia Singh,142
Jayasudha,142
Kota Srinivasarao,142
Dan Dhanoa,142
Megha Chowdhury,142
Poo Ramu,142
Nawin Vijay Krishna,142
Aparna Balamurali,142
Hans Kaushik,142
Robert Pattinson,141
Charlie Hunnam,141
Aarohi Narayan,141
Shavinder Mahal,141
Meher Vij,141
Priyanka Thimmesh,141
Jaspreet Singh,141
Aravinnd Iyer,141
Kavita Gowda,141
Neha Sharma,141
Karthik Nagarajan,141
Aditya Seal,141
Nita Mohindra,141
Sienna Miller,141
Achutha Kumar,141
Chris Donald,141
Kanwaljit Singh,141
Elyssa Erhadt,141
Aman Dhaliwal,141
Manav Vij,141
Simran,141
Girija Shankar,141
Raj Bharath,141
Aashim Gulati,141
Sriram Sriram,141
Tarsem Paul,141
Badava Gopi,141
Sonia Balani,141
Emily Mortimer,140
Athulya Ravi,140
Madhavan,140
Julie Walters,140
Pixie Davies,140
Ben Whishaw,140
Roshni Prakash,140
Sam Jones,140
Laksh,139
Savita Prabhune,139
Kireeti,139
Prosenjit Chatterjee,139
Rajeev Mehra,139
Abhishek Sharrma,139
Seema Taneja,139
Chesta Bhagat,139
Ravi Prakash,139
Rituraj Singh,139
Sally Hawkins,139
Dan Povenmire,139
Vibhawari Deshpande,139
Sonam Arora,139
Sree Vishnu,139
Mangal Kenkre,139
Uday Lagoo,139
Nithin,139
Ajay Sarkaria,139
Sindhu Shekharan,139
Nivethapethuraj,139
Myra Singh,139
Vincent Martella,139
Upasana Singh,139
Anirban Bhattacharya,139
Siddhaanth Samant,139
Harrison Ford,139
Ninja,139
Vijay Maurya,139
Tanusree Chakraborty,139
Prashant Damle,139
Inderpal Singh,139
Gauhar Khan,139
Shweta Basu,139
Ashley Tisdale,139
Sudesh Lehri,139
Vijay Kenkre,139
Malishka Mendonsa,139
Vikram Gokhale,138
Aalekh Kapoor,138
Anuradha Chandan,138
Rajesh Jais,138
Sunny Singh Nijjar,138
Sukant Goel,138
Senthil,138
Narendran,138
Ramya Krishnan,138
Aamir Khan,138
Rucha Inamdar,138
Nirosha,138
Anahita Oberoi,138
Sam Richardson,138
Sudhakar,138
Luke Evans,138
Edwin Hodge,138
Adesh Aware,138
Nushrat Bharucha,138
Mottai Rajendran,138
SJ Surya,138
Virendra Saxena,138
Suresh Chandra Menon,138
Tanvi Ram,138
Ryan Kiera Armstrong,138
Fahim Shaikh,138
Kevin Kline,138
Sayani Gupta,138
Kartik Aaryan,138
Waluscha de Sousa,138
Elli Avram,138
Cobie Smulders,138
Krutik Mazire,138
